ESTIMATE_TYPE,LICENCE_AREA,OPNG_CAT,OPNG_DESC,TARGETS_SOCKEYE,TARGETS_COHO,TARGETS_PINK,TARGETS_CHUM,TARGETS_CHINOOK,STAT_WEEK,FISHING_DATE,MGMT_AREA,AREA_NAME,HRS_OPEN,VESSELS_OP,SOCKEYE_KEPT,SOCKEYE_RELD,COHO_KEPT,COHO_RELD,PINK_KEPT,PINK_RELD,CHUM_KEPT,CHUM_RELD,CHINOOK_KEPT,CHINOOK_RELD,COMMENTS
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 12,YES,NO,YES,NO,NO, 07/3,12/07/2005,3,3-11PEAR,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 12,YES,NO,YES,NO,NO, 07/3,12/07/2005,3,3-12N,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 12,YES,NO,YES,NO,NO, 07/3,12/07/2005,3,3-13PORT,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 12,YES,NO,YES,NO,NO, 07/3,12/07/2005,3,3-17DOG,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 12,YES,NO,YES,NO,NO, 07/3,12/07/2005,3,3-7A,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 12,YES,NO,YES,NO,NO, 07/3,12/07/2005,3,3-7B,16,5,501,0,0,144,6081,0,0,1440,0,56,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 12,YES,NO,YES,NO,NO, 07/3,12/07/2005,3,3-9N,16,1,100,0,0,29,1216,0,0,288,0,5,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 12,YES,NO,YES,NO,NO, 07/3,12/07/2005,3,BOSTONRK,16,6,549,0,0,213,24000,0,0,2352,0,48,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 12,YES,NO,YES,NO,NO, 07/3,12/07/2005,3,TRACEYB,16,4,366,0,0,142,15400,0,0,1568,0,32,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 12,NO,NO,YES,NO,NO, 07/3,12/07/2005,6,CAMPANIA 10,16,6,205,0,0,184,33260,0,0,1134,0,15,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 12,NO,NO,YES,NO,NO, 07/3,12/07/2005,6,LEWIS 5 & 27,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 12,NO,NO,YES,NO,NO, 07/3,12/07/2005,6,SQUALLY 5,16,6,218,0,0,184,38040,0,0,2664,0,90,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 12,NO,NO,YES,NO,NO, 07/3,12/07/2005,6,TAYLOR B 26,16,2,65,0,0,65,10300,0,0,750,0,4,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 12,NO,NO,YES,NO,NO, 07/3,12/07/2005,6,WHALE CH 6,16,6,153,0,0,172,32366,0,0,4540,0,111,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 12,NO,NO,YES,NO,NO, 07/3,12/07/2005,6,WRIGHT SD 28,16,2,39,0,0,65,26000,0,0,740,0,61,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / CM & PK / Area 8 / Jul 12,NO,NO,YES,YES,NO, 07/3,12/07/2005,8,Fisher/Fitz Hugh Net Area,16,20,0,0,74,0,3569,0,986,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 18,YES,YES,YES,YES,NO, 07/4,18/07/2005,3,3-11PEAR,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 18,YES,YES,YES,YES,NO, 07/4,18/07/2005,3,3-12N,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 18,YES,YES,YES,YES,NO, 07/4,18/07/2005,3,3-13PORT,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 18,YES,YES,YES,YES,NO, 07/4,18/07/2005,3,3-17DOG,16,1,20,0,0,0,11411,0,280,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 18,YES,YES,YES,YES,NO, 07/4,18/07/2005,3,3-7A,16,1,53,0,78,0,3067,0,188,0,0,6,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 18,YES,YES,YES,YES,NO, 07/4,18/07/2005,3,3-7B,16,3,159,0,234,0,9201,0,564,0,0,18,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 18,YES,YES,YES,YES,NO, 07/4,18/07/2005,3,3-9N,16,1,34,0,66,0,3211,0,80,0,0,2,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 18,YES,YES,YES,YES,NO, 07/4,18/07/2005,3,BOSTONRK,16,6,316,0,848,0,21756,0,2530,0,0,28,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 18,YES,YES,YES,YES,NO, 07/4,18/07/2005,3,TRACEYB,16,3,56,0,235,0,9200,0,566,0,0,21,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 18,NO,YES,YES,YES,NO, 07/4,18/07/2005,6,CAMPANIA 10,16,13,354,0,744,0,78731,0,3429,63,0,86,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 18,NO,YES,YES,YES,NO, 07/4,18/07/2005,6,LEWIS 5 & 27,16,7,347,0,440,0,74900,0,3243,0,0,60,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 18,NO,YES,YES,YES,NO, 07/4,18/07/2005,6,SQUALLY 5,16,6,230,0,260,0,61320,0,1975,0,0,73,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 18,NO,YES,YES,YES,NO, 07/4,18/07/2005,6,WHALE CH 6,16,38,1400,0,1549,0,281280,0,18967,63,0,292,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 18,NO,YES,YES,YES,NO, 07/4,18/07/2005,6,WRIGHT SD 28,16,4,176,0,167,0,40200,0,2020,0,0,89,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / CM & PK / Area 8 / Jul 18,NO,NO,YES,YES,NO, 07/4,18/07/2005,8,Fisher/Fitz Hugh Net Area,16,5,0,0,297,0,20620,0,4078,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / CM & PK / Area 8 / Jul 19,NO,NO,YES,YES,NO, 07/4,19/07/2005,8,Fisher/Fitz Hugh Net Area,16,9,0,0,272,0,46948,0,4436,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 21,YES,YES,YES,YES,NO, 07/4,21/07/2005,3,3-11PEAR,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 21,YES,YES,YES,YES,NO, 07/4,21/07/2005,3,3-12N,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 21,YES,YES,YES,YES,NO, 07/4,21/07/2005,3,3-13PORT,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 21,YES,YES,YES,YES,NO, 07/4,21/07/2005,3,3-17DOG,16,1,23,0,9,0,11000,0,100,0,0,6,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 21,YES,YES,YES,YES,NO, 07/4,21/07/2005,3,3-7A,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 21,YES,YES,YES,YES,NO, 07/4,21/07/2005,3,3-7B,16,1,150,0,50,0,10000,0,175,0,0,4,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 21,YES,YES,YES,YES,NO, 07/4,21/07/2005,3,3-9N,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 21,YES,YES,YES,YES,NO, 07/4,21/07/2005,3,BOSTONRK,16,3,675,0,770,0,80000,0,1850,0,0,12,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 21,YES,YES,YES,YES,NO, 07/4,21/07/2005,3,TRACEYB,16,2,364,0,309,0,15753,0,834,0,0,2,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 21,NO,YES,YES,YES,NO, 07/4,21/07/2005,6,CAMPANIA 10,16,6,273,0,252,0,75060,0,2070,0,0,11,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 21,NO,YES,YES,YES,NO, 07/4,21/07/2005,6,DOUGLAS 1,16,1,2,0,8,0,1400,0,150,0,0,4,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 21,NO,YES,YES,YES,NO, 07/4,21/07/2005,6,LEWIS 5 & 27,16,10,258,0,396,0,80778,0,4738,0,0,145,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 21,NO,YES,YES,YES,NO, 07/4,21/07/2005,6,SQUALLY 5,16,9,423,0,627,0,73958,0,3263,0,0,152,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 21,NO,YES,YES,YES,NO, 07/4,21/07/2005,6,WHALE CH 6,16,41,1651,0,1708,0,391094,0,21131,0,0,422,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 21,NO,YES,YES,YES,NO, 07/4,21/07/2005,6,WRIGHT SD 28,16,3,58,0,146,0,15600,0,1111,0,0,53,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / CM & PK / Area 8 / Jul 21,NO,NO,YES,YES,NO, 07/4,21/07/2005,8,Fisher/Fitz Hugh Net Area,16,13,0,0,338,0,65650,0,6528,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 22,NO,YES,YES,YES,NO, 07/4,22/07/2005,6,DOUGLAS 1,16,11,59,0,194,0,76501,0,3202,0,0,28,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 25,YES,YES,YES,NO,NO, 07/5,25/07/2005,3,3-11PEAR,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 25,YES,YES,YES,NO,NO, 07/5,25/07/2005,3,3-12N,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 25,YES,YES,YES,NO,NO, 07/5,25/07/2005,3,3-13PORT,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 25,YES,YES,YES,NO,NO, 07/5,25/07/2005,3,3-17DOG,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 25,YES,YES,YES,NO,NO, 07/5,25/07/2005,3,3-7A,16,2,1001,0,371,0,16799,0,0,877,0,5,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 25,YES,YES,YES,NO,NO, 07/5,25/07/2005,3,3-7B,16,22,6150,0,3629,0,187028,0,0,6574,0,200,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 25,YES,YES,YES,NO,NO, 07/5,25/07/2005,3,3-9N,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 25,YES,YES,YES,NO,NO, 07/5,25/07/2005,3,BOSTONRK,16,7,1294,0,958,210,83417,0,0,4102,0,30,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 25,YES,YES,YES,NO,NO, 07/5,25/07/2005,3,TRACEYB,16,4,694,0,260,0,25550,0,0,2384,0,14,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 25,NO,YES,YES,NO,NO, 07/5,25/07/2005,6,CAMPANIA 10,16,6,392,0,353,0,64700,0,0,2265,0,50,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Chum/ Area 6 / Jul 25,NO,YES,NO,YES,NO, 07/5,25/07/2005,6,DOUGLAS 1,16,4,22,0,52,0,37900,0,848,0,0,4,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 25,NO,YES,YES,NO,NO, 07/5,25/07/2005,6,LEWIS 5 & 27,16,4,107,0,207,0,30000,0,0,1000,0,54,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Chum/ Area 6 / Jul 25,NO,YES,NO,YES,NO, 07/5,25/07/2005,6,OTHER A6,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 25,NO,YES,YES,NO,NO, 07/5,25/07/2005,6,SQUALLY 5,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 25,NO,YES,YES,NO,NO, 07/5,25/07/2005,6,WHALE CH 6,16,22,930,0,1120,0,231980,0,0,6018,0,217,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 25,NO,YES,YES,NO,NO, 07/5,25/07/2005,6,WRIGHT SD 28,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / CM & PK / Area 8 / Jul 25,NO,NO,YES,YES,NO, 07/5,25/07/2005,8,Fisher/Fitz Hugh Net Area,16,18,0,0,434,0,59785,0,12744,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 26,YES,YES,YES,NO,NO, 07/5,26/07/2005,3,3-11PEAR,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 26,YES,YES,YES,NO,NO, 07/5,26/07/2005,3,3-12N,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 26,YES,YES,YES,NO,NO, 07/5,26/07/2005,3,3-13PORT,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 26,YES,YES,YES,NO,NO, 07/5,26/07/2005,3,3-17DOG,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 26,YES,YES,YES,NO,NO, 07/5,26/07/2005,3,3-7A,16,3,171,0,204,0,9875,0,0,938,0,12,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 26,YES,YES,YES,NO,NO, 07/5,26/07/2005,3,3-7B,16,22,3232,0,2071,0,125331,0,0,6322,0,93,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 26,YES,YES,YES,NO,NO, 07/5,26/07/2005,3,3-9N,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 26,YES,YES,YES,NO,NO, 07/5,26/07/2005,3,BOSTONRK,16,6,594,0,414,0,26760,0,0,2676,0,30,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 26,YES,YES,YES,NO,NO, 07/5,26/07/2005,3,TRACEYB,16,4,396,0,276,0,17840,0,0,1384,0,20,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 26,NO,YES,YES,NO,NO, 07/5,26/07/2005,6,CAMPANIA 10,16,13,768,0,763,0,121238,0,0,4124,0,95,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Chum/ Area 6 / Jul 26,NO,YES,NO,YES,NO, 07/5,26/07/2005,6,DOUGLAS 1,16,4,68,0,44,0,37050,0,1023,0,0,17,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 26,NO,YES,YES,NO,NO, 07/5,26/07/2005,6,LEWIS 5 & 27,16,3,137,0,185,0,30750,0,0,1088,0,27,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Chum/ Area 6 / Jul 26,NO,YES,NO,YES,NO, 07/5,26/07/2005,6,OTHER A6,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 26,NO,YES,YES,NO,NO, 07/5,26/07/2005,6,SQUALLY 5,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 26,NO,YES,YES,NO,NO, 07/5,26/07/2005,6,WHALE CH 6,16,14,476,0,421,0,81006,0,0,5013,0,129,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 26,NO,YES,YES,NO,NO, 07/5,26/07/2005,6,WRIGHT SD 28,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / CM & PK / Area 8 / Jul 26,NO,NO,YES,YES,NO, 07/5,26/07/2005,8,Fisher/Fitz Hugh Net Area,16,18,0,0,491,0,57718,0,8975,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 28,YES,YES,YES,NO,NO, 07/5,28/07/2005,3,3-11PEAR,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 28,YES,YES,YES,NO,NO, 07/5,28/07/2005,3,3-12N,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 28,YES,YES,YES,NO,NO, 07/5,28/07/2005,3,3-13PORT,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 28,YES,YES,YES,NO,NO, 07/5,28/07/2005,3,3-17DOG,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 28,YES,YES,YES,NO,NO, 07/5,28/07/2005,3,3-7A,16,5,705,0,670,0,27000,0,0,885,0,45,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 28,YES,YES,YES,NO,NO, 07/5,28/07/2005,3,3-7B,16,22,2965,0,1934,0,108807,0,0,5524,0,120,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 28,YES,YES,YES,NO,NO, 07/5,28/07/2005,3,3-9N,16,1,140,0,100,0,2800,0,0,177,0,5,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 28,YES,YES,YES,NO,NO, 07/5,28/07/2005,3,BOSTONRK,16,8,759,0,713,0,73867,0,0,2687,0,15,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 28,YES,YES,YES,NO,NO, 07/5,28/07/2005,3,TRACEYB,16,3,300,0,333,0,17600,0,0,1950,0,15,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 28,NO,YES,YES,NO,NO, 07/5,28/07/2005,6,CAMPANIA 10,16,4,367,0,248,0,45300,0,400,1890,0,26,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 28,NO,YES,YES,NO,NO, 07/5,28/07/2005,6,DOUGLAS 1,16,2,8,0,12,0,12000,0,650,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 28,NO,YES,YES,NO,NO, 07/5,28/07/2005,6,LEWIS 5 & 27,16,7,346,0,590,0,76820,0,1180,4497,0,168,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 28,NO,YES,YES,NO,NO, 07/5,28/07/2005,6,SQUALLY 5,16,1,2,0,37,0,8200,0,64,300,0,43,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 28,NO,YES,YES,NO,NO, 07/5,28/07/2005,6,WHALE CH 6,16,21,1002,0,1132,0,221230,0,3517,12567,0,220,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / Pink/ Area 6 / Jul 28,NO,YES,YES,NO,NO, 07/5,28/07/2005,6,WRIGHT SD 28,16,3,165,0,236,0,35200,0,985,2420,0,77,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 29,YES,YES,YES,NO,NO, 07/5,29/07/2005,3,3-11PEAR,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 29,YES,YES,YES,NO,NO, 07/5,29/07/2005,3,3-12N,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 29,YES,YES,YES,NO,NO, 07/5,29/07/2005,3,3-13PORT,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 29,YES,YES,YES,NO,NO, 07/5,29/07/2005,3,3-17DOG,16,0,0,0,0,0,0,0,0,0,0,0,
